URL,会社名,会社URL,売上,従業員数,会社情報
https://biz-maps.com/item/0W1wPvvlB7,株式会社トリリオン,http://trillion-tv.co.jp/index.html,-,6～10名,"基本情報
住所 〒 130-0013
東京都墨田区錦糸4-14-9 チグサビル303
設立年度 2009/4/22
資本金等 3,000,000円
代表者 森下陽介
URL http://trillion-tv.co.jp/index.html
お問い合わせURL
AIスコア
売上
-
従業員数
6～10名
経営者の年齢
事業所数
店舗数
工場数
決算月"
https://biz-maps.com/item/WX1NGjAljP,株式会社トラフィックブレイン,http://t-brain.jp,-,1～5名,"基本情報
住所 〒 101-0047
東京都千代田区内神田3-2-9SPビル2階
設立年度 2017/6/1
資本金等 7,000,000円
代表者 太田 恒平
URL http://t-brain.jp
お問い合わせURL
AIスコア
売上
-
従業員数
1～5名
経営者の年齢
事業所数
店舗数
工場数
決算月"
https://biz-maps.com/item/yP10NqXZMp,株式会社トライキャッチ,http://trycatch.jp/,-,6～10名,"基本情報
住所 〒 170-0005
東京都豊島区南大塚3丁目50番1号ウィンド大塚ビル309
設立年度 2008/4/1
資本金等 8,000,000円
代表者 太秦芳徳
URL http://trycatch.jp/
お問い合わせURL
AIスコア
売上
-
従業員数
6～10名
経営者の年齢
事業所数
店舗数
工場数
決算月"
https://biz-maps.com/item/3MYnanJZ7g,株式会社トポロジ,http://tplg.co.jp/,-,1～5名,"基本情報
住所 〒 101-0041
東京都千代田区神田須田町1丁目22番地 パルウールオオノビル3階
設立年度 2013/12/26
創業年度 2013/12
資本金等 38,730,000円
代表者 小原毅也
URL http://tplg.co.jp/
お問い合わせURL
AIスコア
売上
-
従業員数
1～5名
経営者の年齢
事業所数
店舗数
工場数
決算月"
https://biz-maps.com/item/V2lk0yaZ50,株式会社トーシン,https://www.to-shinnet.co.jp/,-,11名～30名,"基本情報
住所 〒 110-0004
東京都台東区下谷1-11-5-201
設立年度 -
創業年度 1993/12
資本金等 -
代表者 工藤　誠
URL https://www.to-shinnet.co.jp/
お問い合わせURL
AIスコア
売上
-
従業員数
11名～30名
経営者の年齢
事業所数
店舗数
工場数
決算月"
https://biz-maps.com/item/3MYnazVZ7g,株式会社トゥーフロント,http://www.to-front.net/,-,11名～30名,"基本情報
住所 〒 164-0011
東京都中野区中央1-52-2 Vigorosso中野坂上1F
設立年度 2007/9
創業年度 2006/4
資本金等 10,000,000円
代表者 小原一郎
URL http://www.to-front.net/
お問い合わせURL
AIスコア
売上
-
従業員数
11名～30名
経営者の年齢
事業所数
店舗数
工場数
決算月"
https://biz-maps.com/item/kDZr9nvlGJ,株式会社トイズ,https://toysworks.jp/,-,6～10名,"基本情報
住所 〒 101-0021
東京都千代田区外神田4-12-9ヒューリック秋葉原ビル8F
設立年度 2008/11
資本金等 -
代表者 -
URL https://toysworks.jp/
お問い合わせURL
AIスコア
売上
-
従業員数
6～10名
経営者の年齢
事業所数
店舗数
工場数
決算月"
https://biz-maps.com/item/D0YL05zY9W,株式会社デザインバス,http://www.designbus.co.jp,-,11名～30名,"基本情報
住所 〒 101-0051
東京都千代田区神田神保町1丁目48番地1興生堂ビル4階
設立年度 1995
資本金等 10,000,000円
代表者 古賀龍平
URL http://www.designbus.co.jp
お問い合わせURL
AIスコア
売上
-
従業員数
11名～30名
経営者の年齢
事業所数
店舗数
工場数
決算月"
https://biz-maps.com/item/L3Z7WBbZOo,株式会社テクロンジャパン,http://tech-long.jp,-,1～5名,"基本情報
住所 〒 110-0016
東京都台東区台東1-24-10市村第二ビル3F
設立年度 2011/9/8
資本金等 5,000,000円
代表者 雷 維観
URL http://tech-long.jp
お問い合わせURL
AIスコア
売上
-
従業員数
1～5名
経営者の年齢
事業所数
店舗数
工場数
決算月"
https://biz-maps.com/item/L3Z7W8oZOo,株式会社チーム医療ラーニング,https://www.iryo.jp/,-,1～5名,"基本情報
住所 〒 170-0005
東京都豊島区南大塚2-42-1折原ビル
設立年度 2006/7/10
資本金等 1,000,000円
代表者 梅本和比己
URL https://www.iryo.jp/
お問い合わせURL
AIスコア
売上
-
従業員数
1～5名
経営者の年齢
事業所数
店舗数
工場数
決算月"
https://biz-maps.com/item/mJY2XBBlMz,株式会社タニグチ,http://a-one-taniguchi.jp/,-,6～10名,"基本情報
住所 〒 120-0013
東京都足立区弘道1-28-2
設立年度 -
資本金等 10,000,000円
代表者 谷口 初枝
URL http://a-one-taniguchi.jp/
お問い合わせURL
AIスコア
売上
-
従業員数
6～10名
経営者の年齢
事業所数
店舗数
工場数
決算月"
https://biz-maps.com/item/V2lk0eNZ50,株式会社そると,http://www.saltinc.co.jp/,-,11名～30名,"基本情報
住所 〒 141-0021
東京都品川区上大崎2-15-19 MG目黒駅前2階
設立年度 2015/1/1
資本金等 5,000,000円
代表者 大塚祐輔
URL http://www.saltinc.co.jp/
お問い合わせURL
AIスコア
売上
-
従業員数
11名～30名
経営者の年齢
事業所数
店舗数
工場数
決算月"
https://biz-maps.com/item/PQ1p8o91kg,株式会社スタジオシティ,-,-,1～5名,"基本情報
住所 〒 104-0033
東京都中央区新川1-3-2AS-2-3F
設立年度 1990/5
創業年度 1982/7
資本金等 10,000,000円
代表者 油利賢次
URL -
お問い合わせURL
AIスコア
売上
-
従業員数
1～5名
経営者の年齢
事業所数
店舗数
工場数
決算月"
https://biz-maps.com/item/L4log7ylv2,株式会社スタートポイント,http://startpoint.co.jp,-,6～10名,"基本情報
住所 〒 170-0005
東京都豊島区南大塚3-34-13 ニュー田村ビル3階
設立年度 2010/3/10
創業年度 2010
資本金等 2,500,000円
代表者 小泉光一郎
URL http://startpoint.co.jp
お問い合わせURL
AIスコア
売上
-
従業員数
6～10名
経営者の年齢
事業所数
店舗数
工場数
決算月"
https://biz-maps.com/item/L4logDylv2,株式会社ダイキアクシス・サステイナブル・パワー,https://dasp.daiki-axis.com/company/,-,1～5名,"基本情報
住所 〒 103-0004
東京都中央区東日本橋2丁目15番4号 PMO東日本橋9F
設立年度 2011/2/14
資本金等 100,000,000円
代表者 堀淵　昭洋
URL https://dasp.daiki-axis.com/company/
お問い合わせURL
AIスコア
売上
-
従業員数
1～5名
経営者の年齢
事業所数
店舗数
工場数
決算月"
https://biz-maps.com/item/bkZRVaWZBg,株式会社シュガーテイスト,http://www.sugartaste.co.jp/,-,11名～30名,"基本情報
住所 〒 111-0036
東京都台東区松が谷2丁目2番10号
設立年度 2011/7/5
創業年度 2011
資本金等 3,000,000円
代表者 佐藤奈緒子
URL http://www.sugartaste.co.jp/
お問い合わせURL
AIスコア
売上
-
従業員数
11名～30名
経営者の年齢
事業所数
店舗数
工場数
決算月"
https://biz-maps.com/item/V2lk00DZ50,株式会社ジャパンイノベーションコンサルティング,http://jig-net.co.jp/,-,6～10名,"基本情報
住所 〒 141-0022
東京都品川区東五反田4-4-4-1F
設立年度 -
資本金等 2,000,000円
代表者 吉川　知央
URL http://jig-net.co.jp/
お問い合わせURL
AIスコア
売上
-
従業員数
6～10名
経営者の年齢
事業所数
店舗数
工場数
決算月"
https://biz-maps.com/item/6p1X7EBYNa,株式会社システムコナリ,http://www.systemkonari.jp/index.htm,-,1～5名,"基本情報
住所 〒 131-0043
東京都墨田区立花4-14-2
設立年度 /9/1
創業年度 1987
資本金等 10,000,000円
代表者 児成 卓
URL http://www.systemkonari.jp/index.htm
お問い合わせURL
AIスコア
売上
-
従業員数
1～5名
経営者の年齢
事業所数
店舗数
工場数
決算月"
https://biz-maps.com/item/jg16dKGZ9G,株式会社シオノ事務所,-,-,1～5名,"基本情報
住所 〒 112-0012
東京都文京区大塚4丁目29番8の101号
設立年度 1985/3
資本金等 10,000,000円
代表者 志生野温夫
URL -
お問い合わせURL
AIスコア
売上
-
従業員数
1～5名
経営者の年齢
事業所数
店舗数
工場数
決算月"
